"","Region","Ethnicity","Religion","Highest.education.qualification","Frequency.of.all.media.combined","Working.status","Welth.index","Right","Wrong","Total"
"537","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",2,1,3
"538","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",3,2,5
"539","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",1,0,1
"540","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",1,1,2
"541","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",2,2,4
"542","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",1,1,2
"543","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"544","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",0,1,1
"545","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",0,1,1
"546","Eastern","Sri Lanka Tamil","Other Christian","Passed G.C.E.(O/L) or equivalent","Not at all","No","Lowest",1,0,1
"547","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 1-5","Less than once a week","No","Middle",0,1,1
"548","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Fourth",1,1,2
"549","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Lowest",0,2,2
"550","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Middle",1,2,3
"551","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Second",0,5,5
"552","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","No","Lowest",1,0,1
"553","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","No","Second",1,1,2
"554","Eastern","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","Less than once a week","Yes","Lowest",0,1,1
"555","Eastern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","No","Highest",0,1,1
"556","Eastern","Sri Lanka Tamil","Roman Catholic","Degree and above","At least once a week","Yes","Highest",0,2,2
"557","Eastern","Sri Lanka Tamil","Roman Catholic","Degree and above","Not at all","No","Fourth",0,1,1
"558","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",0,2,2
"559","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",2,1,3
"560","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",1,1,2
"561","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",0,1,1
"562","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,2,3
"563","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Fourth",0,2,2
"564","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",3,1,4
"565","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",1,0,1
"566","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",1,2,3
"567","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",3,2,5
"568","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",1,1,2
"569","Eastern","Sri Lanka Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",1,0,1
"570","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","No","Second",0,1,1
"571","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","Yes","Lowest",1,0,1
"572","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","At least once a week","Yes","Second",0,2,2
"573","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","Less than once a week","No","Lowest",1,0,1
"574","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 1-5","Less than once a week","Yes","Lowest",1,0,1
"575","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Fourth",1,3,4
"576","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Lowest",0,2,2
"577","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Middle",1,1,2
"578","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Second",3,1,4
"579","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Lowest",1,1,2
"580","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Second",1,1,2
"581","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Not at all","No","Lowest",1,0,1
"582","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Not at all","No","Middle",1,0,1
"583","Eastern","Sri Lanka Tamil","Roman Catholic","Passed Grade 6-10","Not at all","Yes","Middle",0,1,1
"584","North Central","Burger","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",1,0,1
"585","North Central","Burger","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",1,0,1
"586","North Central","Burger","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",1,0,1
"587","North Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Fourth",2,0,2
"588","North Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Highest",1,0,1
"589","North Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Middle",0,1,1
"590","North Central","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Fourth",7,0,7
"591","North Central","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Highest",10,3,13
"592","North Central","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Highest",1,0,1
"593","North Central","Sinhala","Buddhist","No education","At least once a week","No","Fourth",1,0,1
"594","North Central","Sinhala","Buddhist","No education","At least once a week","Yes","Fourth",2,0,2
"595","North Central","Sinhala","Buddhist","No education","At least once a week","Yes","Highest",1,0,1
"596","North Central","Sinhala","Buddhist","No education","At least once a week","Yes","Lowest",0,1,1
"597","North Central","Sinhala","Buddhist","No education","At least once a week","Yes","Second",1,0,1
"598","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",42,1,43
"599","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",22,3,25
"600","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",18,1,19
"601","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",5,0,5
"602","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",13,1,14
"603","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",23,6,29
"604","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",7,0,7
"605","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",1,0,1
"606","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Fourth",3,0,3
"607","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Highest",1,0,1
"608","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Middle",1,0,1
"609","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Second",2,0,2
"610","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Fourth",2,0,2
"611","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Highest",1,0,1
"612","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Middle",1,0,1
"613","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","No","Highest",1,0,1
"614","North Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","No","Middle",1,0,1
"615","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",48,7,55
"616","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",26,3,29
"617","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",38,7,45
"618","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",26,7,33
"619","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",14,2,16
"620","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",10,0,10
"621","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",0,1,1
"622","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",13,0,13
"623","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",7,0,7
"624","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",6,0,6
"625","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Highest",1,0,1
"626","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Lowest",3,0,3
"627","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",2,0,2
"628","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Second",5,0,5
"629","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Fourth",1,0,1
"630","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Highest",2,0,2
"631","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Lowest",2,0,2
"632","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Middle",1,0,1
"633","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Second",1,0,1
"634","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","Yes","Fourth",1,0,1
"635","North Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","Yes","Highest",1,0,1
"636","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Fourth",3,0,3
"637","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Lowest",1,0,1
"638","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Middle",5,0,5
"639","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","No","Second",4,1,5
"640","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Fourth",1,1,2
"641","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Lowest",1,1,2
"642","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Middle",4,0,4
"643","North Central","Sinhala","Buddhist","Passed Grade 1-5","At least once a week","Yes","Second",3,0,3
"644","North Central","Sinhala","Buddhist","Passed Grade 1-5","Less than once a week","No","Lowest",1,0,1
"645","North Central","Sinhala","Buddhist","Passed Grade 1-5","Not at all","No","Lowest",3,0,3
"646","North Central","Sinhala","Buddhist","Passed Grade 1-5","Not at all","No","Second",1,0,1
"647","North Central","Sinhala","Buddhist","Passed Grade 1-5","Not at all","Yes","Middle",1,0,1
"648","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Fourth",85,6,91
"649","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Highest",27,3,30
"650","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Lowest",15,5,20
"651","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Middle",80,9,89
"652","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","No","Second",64,9,73
"653","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Fourth",26,5,31
"654","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Highest",11,2,13
"655","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Lowest",5,0,5
"656","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Middle",17,1,18
"657","North Central","Sinhala","Buddhist","Passed Grade 6-10","At least once a week","Yes","Second",11,2,13
"658","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Fourth",6,0,6
"659","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Highest",1,0,1
"660","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Lowest",2,1,3
"661","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Middle",5,1,6
"662","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","No","Second",5,0,5
"663","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Fourth",3,0,3
"664","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Highest",1,0,1
"665","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Lowest",2,0,2
"666","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Middle",2,0,2
"667","North Central","Sinhala","Buddhist","Passed Grade 6-10","Less than once a week","Yes","Second",2,0,2
"668","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Fourth",0,1,1
"669","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Lowest",5,0,5
"670","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Middle",2,0,2
"671","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","No","Second",2,1,3
"672","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","Yes","Middle",1,0,1
"673","North Central","Sinhala","Buddhist","Passed Grade 6-10","Not at all","Yes","Second",1,0,1
"674","North Central","Sinhala","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",1,0,1
"675","North Central","Sinhala","Other Christian","Passed Grade 6-10","At least once a week","No","Fourth",1,0,1
"676","North Central","Sinhala","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",2,0,2
"677","North Central","Sinhala","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",1,0,1
"678","North Central","Sinhala","Roman Catholic","Passed Grade 6-10","At least once a week","No","Highest",1,0,1
"679","North Central","Sri Lanka Moor/Muslim","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",1,0,1
"680","North Central","Sri Lanka Moor/Muslim","Islam","Degree and above","At least once a week","No","Fourth",1,0,1
"681","North Central","Sri Lanka Moor/Muslim","Islam","Degree and above","At least once a week","No","Highest",1,0,1
"682","North Central","Sri Lanka Moor/Muslim","Islam","No education","At least once a week","No","Fourth",1,0,1
"683","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",4,1,5
"684","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",6,0,6
"685","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",2,0,2
"686","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",1,0,1
"687","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",3,0,3
"688","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",14,3,17
"689","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",8,0,8
"690","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",3,1,4
"691","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",2,1,3
"692","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",1,1,2
"693","North Central","Sri Lanka Moor/Muslim","Islam","Passed G.C.E.(O/L) or equivalent","Not at all","No","Middle",1,0,1
"694","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","No","Fourth",0,1,1
"695","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","No","Middle",2,0,2
"696","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","At least once a week","No","Second",0,2,2
"697","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 1-5","Not at all","No","Second",1,0,1
"698","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Fourth",10,2,12
"699","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Highest",4,2,6
"700","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Lowest",1,0,1
"701","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Middle",11,1,12
"702","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","No","Second",8,3,11
"703","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Fourth",0,1,1
"704","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","At least once a week","Yes","Highest",1,0,1
"705","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Less than once a week","No","Fourth",1,0,1
"706","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Less than once a week","Yes","Second",1,0,1
"707","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Not at all","No","Fourth",1,0,1
"708","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Not at all","No","Middle",1,0,1
"709","North Central","Sri Lanka Moor/Muslim","Islam","Passed Grade 6-10","Not at all","No","Second",1,0,1
"710","North Central","Sri Lanka Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",1,0,1
"711","North Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Lowest",2,0,2
"712","North Central","Sri Lanka Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Second",1,1,2
"713","North Central","Sri Lanka Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Fourth",1,0,1
"714","North Central","Sri Lanka Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Highest",1,0,1
"715","North Eastern","Burger","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Middle",1,0,1
"716","North Eastern","Indian Tamil","Buddhist","Passed Grade 1-5","Not at all","Yes","Lowest",1,0,1
"717","North Eastern","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Lowest",0,1,1
"718","North Eastern","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Second",1,0,1
"719","North Eastern","Indian Tamil","Hindu","Passed Grade 6-10","Less than once a week","No","Lowest",1,0,1
"720","North Eastern","Indian Tamil","Islam","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Second",0,1,1
"721","North Eastern","Indian Tamil","Islam","Passed Grade 6-10","Less than once a week","No","Middle",1,0,1
"722","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","No","Fourth",1,2,3
"723","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","No","Highest",4,0,4
"724","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","No","Middle",2,0,2
"725","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Fourth",16,4,20
"726","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Highest",30,5,35
"727","North Eastern","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Middle",7,1,8
"728","North Eastern","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Fourth",1,0,1
"729","North Eastern","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Highest",2,0,2
"730","North Eastern","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Middle",1,0,1
"731","North Eastern","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Second",1,0,1
"732","North Eastern","Sinhala","Buddhist","Degree and above","Not at all","No","Highest",1,0,1
"733","North Eastern","Sinhala","Buddhist","Degree and above","Not at all","Yes","Highest",1,0,1
"734","North Eastern","Sinhala","Buddhist","No education","At least once a week","No","Lowest",1,0,1
"735","North Eastern","Sinhala","Buddhist","No education","At least once a week","No","Middle",1,0,1
"736","North Eastern","Sinhala","Buddhist","No education","At least once a week","No","Second",2,0,2
"737","North Eastern","Sinhala","Buddhist","No education","At least once a week","Yes","Lowest",1,0,1
"738","North Eastern","Sinhala","Buddhist","No education","At least once a week","Yes","Middle",1,1,2
"739","North Eastern","Sinhala","Buddhist","No education","At least once a week","Yes","Second",1,1,2
"740","North Eastern","Sinhala","Buddhist","No education","Less than once a week","Yes","Lowest",1,0,1
"741","North Eastern","Sinhala","Buddhist","No education","Less than once a week","Yes","Second",0,1,1
"742","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",49,9,58
"743","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",41,1,42
"744","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",3,0,3
"745","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",43,5,48
"746","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",18,1,19
"747","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",27,2,29
"748","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",38,6,44
"749","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"750","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",30,3,33
"751","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",9,2,11
"752","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Fourth",2,2,4
"753","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Highest",1,0,1
"754","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Middle",1,2,3
"755","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Second",4,0,4
"756","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Fourth",2,0,2
"757","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Highest",2,0,2
"758","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Middle",3,0,3
"759","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","No","Fourth",2,0,2
"760","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","No","Lowest",1,0,1
"761","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","No","Second",2,0,2
"762","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Fourth",2,0,2
"763","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Highest",1,0,1
"764","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Middle",1,0,1
"765","North Eastern","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Second",0,1,1
"766","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",52,7,59
"767","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",18,4,22
"768","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",7,0,7
"769","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",43,5,48
"770","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",23,1,24
"771","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",9,3,12
"772","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",6,1,7
"773","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"774","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",16,5,21
"775","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",20,2,22
"776","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Fourth",4,2,6
"777","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Highest",2,0,2
"778","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","No","Middle",3,0,3
"779","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Highest",1,0,1
"780","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Lowest",1,0,1
"781","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Less than once a week","Yes","Middle",2,0,2
"782","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Fourth",1,0,1
"783","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Lowest",1,1,2
"784","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Middle",0,1,1
"785","North Eastern","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","Not at all","No","Second",2,1,3
